DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,LTI,DART,DESCRIPTION,Number_OF_Incidents,HOURS_YOY,LTI_YOY,DART_YOY,OSHA_YOY,LTI_Rate,DART_Rate,OSHA_Rate
Youth Detention Services      ,6/21/2014,NULL,NULL,NULL,0,267871.01,NULL,NULL,NULL,NULL,NULL,NULL
Zoo,6/21/2014,NULL,NULL,NULL,0,336433.83,NULL,NULL,NULL,NULL,NULL,NULL
Belle of Louisville           ,6/7/2014,NULL,NULL,NULL,0,73198.69,NULL,NULL,NULL,NULL,NULL,NULL
Codes & Regulations,6/7/2014,NO,NO,"Contact dermatitis (Rash, Poison Ivy)",1,227633.35,NULL,NULL,NULL,NULL,NULL,NULL
Commonwealth Attorney         ,6/7/2014,NULL,NULL,NULL,0,35855,NULL,NULL,NULL,NULL,NULL,NULL
Community Services,6/7/2014,NULL,NULL,NULL,0,308584.05,NULL,NULL,NULL,NULL,NULL,NULL
Coroner                       ,6/7/2014,NULL,NULL,NULL,0,39124.25,NULL,NULL,NULL,NULL,NULL,NULL
Corrections                   ,6/7/2014,YES,YES,Sprain  (ligament),1,989116.65,NULL,NULL,NULL,NULL,NULL,NULL
Corrections                   ,6/7/2014,YES,YES,Strain (muscle/tendon),1,989116.65,NULL,NULL,NULL,NULL,NULL,NULL
County Attorney               ,6/7/2014,NULL,NULL,NULL,0,179213.89,NULL,NULL,NULL,NULL,NULL,NULL
Dept of Information Technology,6/7/2014,NULL,NULL,NULL,0,100988.6,NULL,NULL,NULL,NULL,NULL,NULL
Develop Louisville,6/7/2014,NULL,NULL,NULL,0,298134.8034,NULL,NULL,NULL,NULL,NULL,NULL
Econ Growth & Innovation ,6/7/2014,NULL,NULL,NULL,0,113512.9,NULL,NULL,NULL,NULL,NULL,NULL
Econ Growth & Innovation-APCD,6/7/2014,NULL,NULL,NULL,0,136681.23,NULL,NULL,NULL,NULL,NULL,NULL
Emergency Mgt Agency/MetroSafe,6/7/2014,NULL,NULL,NULL,0,428495.77,NULL,NULL,NULL,NULL,NULL,NULL
Fire & Rescue                 ,6/7/2014,YES,YES,Cut or Laceration,1,1201867.85,NULL,NULL,NULL,NULL,NULL,NULL
Fleet & Facilities,6/7/2014,NULL,NULL,NULL,0,417094.11,NULL,NULL,NULL,NULL,NULL,NULL
Human Relations Commission    ,6/7/2014,NULL,NULL,NULL,0,40412.9,NULL,NULL,NULL,NULL,NULL,NULL
Human Resources,6/7/2014,NULL,NULL,NULL,0,84577.1,NULL,NULL,NULL,NULL,NULL,NULL
Internal Auditor              ,6/7/2014,NULL,NULL,NULL,0,8787.2,NULL,NULL,NULL,NULL,NULL,NULL
Kentuckiana Works Foundation,6/7/2014,NULL,NULL,NULL,0,29491.9,NULL,NULL,NULL,NULL,NULL,NULL
Library,6/7/2014,NO,NO,Strain (muscle/tendon),2,448178.86,NULL,NULL,NULL,NULL,NULL,NULL
Library,6/7/2014,YES,YES,Strain (muscle/tendon),1,448178.86,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro Council      ,6/7/2014,NULL,NULL,NULL,0,167017.7,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro EMS,6/7/2014,NO,NO,Puncture,1,575818.62,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro EMS,6/7/2014,NO,YES,Strain (muscle/tendon),1,575818.62,NULL,NULL,NULL,NULL,NULL,NULL
Mayor's Office                ,6/7/2014,NULL,NULL,NULL,0,49791.8,NULL,NULL,NULL,NULL,NULL,NULL
Metro Animal Services         ,6/7/2014,NULL,NULL,NULL,0,87678.93,NULL,NULL,NULL,NULL,NULL,NULL
Metro Criminal Justice Comm   ,6/7/2014,NULL,NULL,NULL,0,6246,NULL,NULL,NULL,NULL,NULL,NULL
Metro Parks & Recreation,6/7/2014,NO,YES,Strain (muscle/tendon),1,611871.75,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,6/7/2014,NO,YES,Contusion/Bruise,1,2907815.42,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,6/7/2014,NO,NO,Cut or Laceration,1,2907815.42,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,6/7/2014,NO,NO,Puncture,1,2907815.42,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,6/7/2014,NO,YES,"Scratches, abrasions-superficial",1,2907815.42,NULL,NULL,NULL,NULL,NULL,NULL
Office of Performance Improvmt,6/7/2014,NULL,NULL,NULL,0,17200.3,NULL,NULL,NULL,NULL,NULL,NULL
OMB ,6/7/2014,NULL,NULL,NULL,0,394900.8367,NULL,NULL,NULL,NULL,NULL,NULL
Other Officials               ,6/7/2014,NULL,NULL,NULL,0,19500,NULL,NULL,NULL,NULL,NULL,NULL
Parking Authority of River Cty,6/7/2014,NULL,NULL,NULL,0,52886.7,NULL,NULL,NULL,NULL,NULL,NULL
Public Health & Wellness,6/7/2014,NULL,NULL,NULL,0,420436.78,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,6/7/2014,NO,YES,Cut or Laceration,1,850409.9433,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,6/7/2014,YES,YES,Fracture,1,850409.9433,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,6/7/2014,NO,NO,Irritation,1,850409.9433,NULL,NULL,NULL,NULL,NULL,NULL
Waterfront Development Corp,6/7/2014,NULL,NULL,NULL,0,32189.7,NULL,NULL,NULL,NULL,NULL,NULL
Youth Detention Services      ,6/7/2014,NULL,NULL,NULL,0,266903.51,NULL,NULL,NULL,NULL,NULL,NULL
Zoo,6/7/2014,NULL,NULL,NULL,0,336679.55,NULL,NULL,NULL,NULL,NULL,NULL
Belle of Louisville           ,5/24/2014,NULL,NULL,NULL,0,72783.07,NULL,NULL,NULL,NULL,NULL,NULL
Codes & Regulations,5/24/2014,YES,YES,Strain (muscle/tendon),1,227886.15,NULL,NULL,NULL,NULL,NULL,NULL
Codes & Regulations,5/24/2014,NO,NO,Strain (muscle/tendon),1,227886.15,NULL,NULL,NULL,NULL,NULL,NULL
Commonwealth Attorney         ,5/24/2014,NULL,NULL,NULL,0,35700,NULL,NULL,NULL,NULL,NULL,NULL
Community Services,5/24/2014,NULL,NULL,NULL,0,311969.65,NULL,NULL,NULL,NULL,NULL,NULL
Coroner                       ,5/24/2014,NULL,NULL,NULL,0,39051.5,NULL,NULL,NULL,NULL,NULL,NULL
Corrections                   ,5/24/2014,NO,NO,Contusion/Bruise,1,991345.2,NULL,NULL,NULL,NULL,NULL,NULL
County Attorney               ,5/24/2014,NULL,NULL,NULL,0,179349.89,NULL,NULL,NULL,NULL,NULL,NULL
Dept of Information Technology,5/24/2014,NULL,NULL,NULL,0,101404.3,NULL,NULL,NULL,NULL,NULL,NULL
Develop Louisville,5/24/2014,NULL,NULL,NULL,0,297184.8034,NULL,NULL,NULL,NULL,NULL,NULL
Econ Growth & Innovation ,5/24/2014,NULL,NULL,NULL,0,112572.1,NULL,NULL,NULL,NULL,NULL,NULL
Econ Growth & Innovation-APCD,5/24/2014,NULL,NULL,NULL,0,138933.53,NULL,NULL,NULL,NULL,NULL,NULL
Emergency Mgt Agency/MetroSafe,5/24/2014,NULL,NULL,NULL,0,426568.32,NULL,NULL,NULL,NULL,NULL,NULL
Fire & Rescue                 ,5/24/2014,YES,YES,Strain (muscle/tendon),1,1202135.45,NULL,NULL,NULL,NULL,NULL,NULL
Fleet & Facilities,5/24/2014,NO,NO,Cut or Laceration,1,417434.55,NULL,NULL,NULL,NULL,NULL,NULL
Human Relations Commission    ,5/24/2014,NULL,NULL,NULL,0,40133.2,NULL,NULL,NULL,NULL,NULL,NULL
Human Resources,5/24/2014,NULL,NULL,NULL,0,84662.9,NULL,NULL,NULL,NULL,NULL,NULL
Internal Auditor              ,5/24/2014,NULL,NULL,NULL,0,8803,NULL,NULL,NULL,NULL,NULL,NULL
Kentuckiana Works Foundation,5/24/2014,NULL,NULL,NULL,0,29578.7,NULL,NULL,NULL,NULL,NULL,NULL
Library,5/24/2014,NULL,NULL,NULL,0,449623.96,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro Council      ,5/24/2014,NULL,NULL,NULL,0,166977.85,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro EMS,5/24/2014,NO,NO,Bloodborne Pathogen Exposure,2,575690.07,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro EMS,5/24/2014,NO,YES,Strain (muscle/tendon),2,575690.07,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro EMS,5/24/2014,NO,NO,Strain (muscle/tendon),1,575690.07,NULL,NULL,NULL,NULL,NULL,NULL
Mayor's Office                ,5/24/2014,NULL,NULL,NULL,0,49414.5,NULL,NULL,NULL,NULL,NULL,NULL
Metro Animal Services         ,5/24/2014,NULL,NULL,NULL,0,87582.71,NULL,NULL,NULL,NULL,NULL,NULL
Metro Criminal Justice Comm   ,5/24/2014,NULL,NULL,NULL,0,6277.7,NULL,NULL,NULL,NULL,NULL,NULL
Metro Parks & Recreation,5/24/2014,NO,YES,Strain (muscle/tendon),1,611624.9,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,5/24/2014,NO,NO,Cut or Laceration,1,2904737.17,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,5/24/2014,YES,YES,Fracture,1,2904737.17,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,5/24/2014,NO,NO,Human Bite,1,2904737.17,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,5/24/2014,YES,YES,Strain (muscle/tendon),1,2904737.17,NULL,NULL,NULL,NULL,NULL,NULL
Office of Performance Improvmt,5/24/2014,NULL,NULL,NULL,0,17230.7,NULL,NULL,NULL,NULL,NULL,NULL
OMB ,5/24/2014,NULL,NULL,NULL,0,394045.1367,NULL,NULL,NULL,NULL,NULL,NULL
Other Officials               ,5/24/2014,NULL,NULL,NULL,0,19500,NULL,NULL,NULL,NULL,NULL,NULL
Parking Authority of River Cty,5/24/2014,NULL,NULL,NULL,0,53214.3,NULL,NULL,NULL,NULL,NULL,NULL
Public Health & Wellness,5/24/2014,NO,NO,Cut or Laceration,1,421741.25,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,5/24/2014,NO,YES,"Concussion-Brain, cerebral",1,850484.8033,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,5/24/2014,NO,NO,"Contact dermatitis (Rash, Poison Ivy)",1,850484.8033,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,5/24/2014,YES,YES,Eye Injury,1,850484.8033,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,5/24/2014,YES,YES,Inflamation,1,850484.8033,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,5/24/2014,NO,YES,Sprain  (ligament),1,850484.8033,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,5/24/2014,YES,YES,Strain (muscle/tendon),1,850484.8033,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,5/24/2014,NO,YES,Strain (muscle/tendon),2,850484.8033,NULL,NULL,NULL,NULL,NULL,NULL
Waterfront Development Corp,5/24/2014,NULL,NULL,NULL,0,32107.95,NULL,NULL,NULL,NULL,NULL,NULL
Youth Detention Services      ,5/24/2014,NO,YES,Fracture,1,266227.47,NULL,NULL,NULL,NULL,NULL,NULL
Zoo,5/24/2014,NULL,NULL,NULL,0,336236.25,NULL,NULL,NULL,NULL,NULL,NULL
Belle of Louisville           ,5/10/2014,NULL,NULL,NULL,0,72447.33,NULL,NULL,NULL,NULL,NULL,NULL
Codes & Regulations,5/10/2014,NO,NO,Sprain  (ligament),1,228353.3,NULL,NULL,NULL,NULL,NULL,NULL
Commonwealth Attorney         ,5/10/2014,NULL,NULL,NULL,0,35647.5,NULL,NULL,NULL,NULL,NULL,NULL
Community Services,5/10/2014,NULL,NULL,NULL,0,316335.25,NULL,NULL,NULL,NULL,NULL,NULL
Coroner                       ,5/10/2014,NULL,NULL,NULL,0,39192.75,NULL,NULL,NULL,NULL,NULL,NULL
Corrections                   ,5/10/2014,NULL,NULL,NULL,0,993036.91,NULL,NULL,NULL,NULL,NULL,NULL
County Attorney               ,5/10/2014,NULL,NULL,NULL,0,179540.89,NULL,NULL,NULL,NULL,NULL,NULL
Dept of Information Technology,5/10/2014,NULL,NULL,NULL,0,101640.9,NULL,NULL,NULL,NULL,NULL,NULL
Develop Louisville,5/10/2014,NULL,NULL,NULL,0,295018.1034,NULL,NULL,NULL,NULL,NULL,NULL
Econ Growth & Innovation ,5/10/2014,NULL,NULL,NULL,0,112577.1,NULL,NULL,NULL,NULL,NULL,NULL
Econ Growth & Innovation-APCD,5/10/2014,NULL,NULL,NULL,0,141087.13,NULL,NULL,NULL,NULL,NULL,NULL
Emergency Mgt Agency/MetroSafe,5/10/2014,NULL,NULL,NULL,0,424630.07,NULL,NULL,NULL,NULL,NULL,NULL
Fire & Rescue                 ,5/10/2014,YES,YES,Other,1,1200974.7,NULL,NULL,NULL,NULL,NULL,NULL
Fleet & Facilities,5/10/2014,NULL,NULL,NULL,0,417285.13,NULL,NULL,NULL,NULL,NULL,NULL
Human Relations Commission    ,5/10/2014,NULL,NULL,NULL,0,39941,NULL,NULL,NULL,NULL,NULL,NULL
Human Resources,5/10/2014,NULL,NULL,NULL,0,84772.2,NULL,NULL,NULL,NULL,NULL,NULL
Internal Auditor              ,5/10/2014,NULL,NULL,NULL,0,8881.6,NULL,NULL,NULL,NULL,NULL,NULL
Kentuckiana Works Foundation,5/10/2014,NULL,NULL,NULL,0,29618.1,NULL,NULL,NULL,NULL,NULL,NULL
Library,5/10/2014,NULL,NULL,NULL,0,451311.86,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro Council      ,5/10/2014,NULL,NULL,NULL,0,167315.75,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro EMS,5/10/2014,YES,YES,Irritation,1,574943.97,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro EMS,5/10/2014,YES,YES,Strain (muscle/tendon),2,574943.97,NULL,NULL,NULL,NULL,NULL,NULL
Mayor's Office                ,5/10/2014,NULL,NULL,NULL,0,49499.9,NULL,NULL,NULL,NULL,NULL,NULL
Metro Animal Services         ,5/10/2014,NULL,NULL,NULL,0,87597.08,NULL,NULL,NULL,NULL,NULL,NULL
Metro Criminal Justice Comm   ,5/10/2014,NULL,NULL,NULL,0,6256.6,NULL,NULL,NULL,NULL,NULL,NULL
Metro Parks & Recreation,5/10/2014,YES,YES,Sprain  (ligament),1,610856.05,NULL,NULL,NULL,NULL,NULL,NULL
Metro Parks & Recreation,5/10/2014,YES,YES,Strain (muscle/tendon),1,610856.05,NULL,NULL,NULL,NULL,NULL,NULL
Metro Parks & Recreation,5/10/2014,NO,YES,Strain (muscle/tendon),1,610856.05,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,5/10/2014,NO,NO,Bloodborne Pathogen Exposure,4,2906837.53,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,5/10/2014,YES,YES,"Concussion-Brain, cerebral",1,2906837.53,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,5/10/2014,YES,YES,Contusion/Bruise,1,2906837.53,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,5/10/2014,NO,YES,Contusion/Bruise,1,2906837.53,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,5/10/2014,YES,YES,Cut or Laceration,2,2906837.53,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,5/10/2014,YES,YES,Fracture,1,2906837.53,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,5/10/2014,NO,YES,Strain (muscle/tendon),1,2906837.53,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,5/10/2014,YES,YES,Strain (muscle/tendon),1,2906837.53,NULL,NULL,NULL,NULL,NULL,NULL
Office of Performance Improvmt,5/10/2014,NULL,NULL,NULL,0,17680.2,NULL,NULL,NULL,NULL,NULL,NULL
OMB ,5/10/2014,NULL,NULL,NULL,0,393050.8367,NULL,NULL,NULL,NULL,NULL,NULL
Other Officials               ,5/10/2014,NULL,NULL,NULL,0,19500,NULL,NULL,NULL,NULL,NULL,NULL
Parking Authority of River Cty,5/10/2014,NULL,NULL,NULL,0,53826.45,NULL,NULL,NULL,NULL,NULL,NULL
Public Health & Wellness,5/10/2014,NULL,NULL,NULL,0,423502.55,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,5/10/2014,NO,YES,Sprain  (ligament),1,850916.0533,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,5/10/2014,YES,YES,Strain (muscle/tendon),2,850916.0533,NULL,NULL,NULL,NULL,NULL,NULL
Waterfront Development Corp,5/10/2014,NULL,NULL,NULL,0,32177.7,NULL,NULL,NULL,NULL,NULL,NULL
Youth Detention Services      ,5/10/2014,NO,YES,Contusion/Bruise,1,265108.32,NULL,NULL,NULL,NULL,NULL,NULL
Youth Detention Services      ,5/10/2014,NO,NO,Hyperextension,1,265108.32,NULL,NULL,NULL,NULL,NULL,NULL
Youth Detention Services      ,5/10/2014,YES,YES,Sprain  (ligament),1,265108.32,NULL,NULL,NULL,NULL,NULL,NULL
Zoo,5/10/2014,NO,NO,Cut or Laceration,2,336212.01,NULL,NULL,NULL,NULL,NULL,NULL
Belle of Louisville           ,4/26/2014,NULL,NULL,NULL,0,72021.76,NULL,NULL,NULL,NULL,NULL,NULL
Codes & Regulations,4/26/2014,NO,NO,Cut or Laceration,1,228914.05,NULL,NULL,NULL,NULL,NULL,NULL
Commonwealth Attorney         ,4/26/2014,NULL,NULL,NULL,0,35610,NULL,NULL,NULL,NULL,NULL,NULL
Community Services,4/26/2014,NULL,NULL,NULL,0,320588.95,NULL,NULL,NULL,NULL,NULL,NULL
Coroner                       ,4/26/2014,NULL,NULL,NULL,0,39106.25,NULL,NULL,NULL,NULL,NULL,NULL
Corrections                   ,4/26/2014,NO,YES,Contusion/Bruise,1,993578.26,NULL,NULL,NULL,NULL,NULL,NULL
County Attorney               ,4/26/2014,NULL,NULL,NULL,0,179734.68,NULL,NULL,NULL,NULL,NULL,NULL
Dept of Information Technology,4/26/2014,NULL,NULL,NULL,0,102127.1,NULL,NULL,NULL,NULL,NULL,NULL
Develop Louisville,4/26/2014,NULL,NULL,NULL,0,294780.4534,NULL,NULL,NULL,NULL,NULL,NULL
Econ Growth & Innovation ,4/26/2014,NULL,NULL,NULL,0,112119.1,NULL,NULL,NULL,NULL,NULL,NULL
Econ Growth & Innovation-APCD,4/26/2014,NULL,NULL,NULL,0,143225.03,NULL,NULL,NULL,NULL,NULL,NULL
Emergency Mgt Agency/MetroSafe,4/26/2014,NULL,NULL,NULL,0,423208.67,NULL,NULL,NULL,NULL,NULL,NULL
Fire & Rescue                 ,4/26/2014,YES,YES,Contusion/Bruise,1,1200309.8,NULL,NULL,NULL,NULL,NULL,NULL
Fleet & Facilities,4/26/2014,NO,YES,Contusion/Bruise,2,417059.81,NULL,NULL,NULL,NULL,NULL,NULL
Fleet & Facilities,4/26/2014,YES,YES,Sprain  (ligament),1,417059.81,NULL,NULL,NULL,NULL,NULL,NULL
Human Relations Commission    ,4/26/2014,NULL,NULL,NULL,0,39755.2,NULL,NULL,NULL,NULL,NULL,NULL
Human Resources,4/26/2014,NULL,NULL,NULL,0,84661.3,NULL,NULL,NULL,NULL,NULL,NULL
Internal Auditor              ,4/26/2014,NULL,NULL,NULL,0,8947.6,NULL,NULL,NULL,NULL,NULL,NULL
Kentuckiana Works Foundation,4/26/2014,NULL,NULL,NULL,0,29564.8,NULL,NULL,NULL,NULL,NULL,NULL
Library,4/26/2014,NULL,NULL,NULL,0,453198.96,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro Council      ,4/26/2014,NULL,NULL,NULL,0,167496.7,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro EMS,4/26/2014,NO,NO,Bloodborne Pathogen Exposure,1,574513.97,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro EMS,4/26/2014,YES,YES,Hernia,1,574513.97,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro EMS,4/26/2014,NO,YES,Strain (muscle/tendon),1,574513.97,NULL,NULL,NULL,NULL,NULL,NULL
Mayor's Office                ,4/26/2014,NULL,NULL,NULL,0,49497.6,NULL,NULL,NULL,NULL,NULL,NULL
Metro Animal Services         ,4/26/2014,NULL,NULL,NULL,0,87624.88,NULL,NULL,NULL,NULL,NULL,NULL
Metro Criminal Justice Comm   ,4/26/2014,NULL,NULL,NULL,0,6223.4,NULL,NULL,NULL,NULL,NULL,NULL
Metro Parks & Recreation,4/26/2014,NO,NO,Crushing,1,610266.6,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,4/26/2014,NO,NO,Bloodborne Pathogen Exposure,4,2903760.27,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,4/26/2014,YES,YES,Contusion/Bruise,2,2903760.27,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,4/26/2014,YES,YES,Cut or Laceration,1,2903760.27,NULL,NULL,NULL,NULL,NULL,NULL
Office of Performance Improvmt,4/26/2014,NULL,NULL,NULL,0,18073.6,NULL,NULL,NULL,NULL,NULL,NULL
OMB ,4/26/2014,NULL,NULL,NULL,0,391619.1867,NULL,NULL,NULL,NULL,NULL,NULL
Other Officials               ,4/26/2014,NULL,NULL,NULL,0,19500,NULL,NULL,NULL,NULL,NULL,NULL
Parking Authority of River Cty,4/26/2014,NULL,NULL,NULL,0,54222.25,NULL,NULL,NULL,NULL,NULL,NULL
Public Health & Wellness,4/26/2014,NO,NO,Puncture,1,425056.35,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,4/26/2014,NO,NO,Exposure to Substance,1,849612.6033,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,4/26/2014,YES,YES,Multiple injuries,1,849612.6033,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,4/26/2014,NO,YES,Strain (muscle/tendon),1,849612.6033,NULL,NULL,NULL,NULL,NULL,NULL
Waterfront Development Corp,4/26/2014,NULL,NULL,NULL,0,32242.2,NULL,NULL,NULL,NULL,NULL,NULL
Youth Detention Services      ,4/26/2014,NULL,NULL,NULL,0,264762.97,NULL,NULL,NULL,NULL,NULL,NULL
Zoo,4/26/2014,NULL,NULL,NULL,0,335958.56,NULL,NULL,NULL,NULL,NULL,NULL
Belle of Louisville           ,4/12/2014,NULL,NULL,NULL,0,71783.58,NULL,NULL,NULL,NULL,NULL,NULL
Codes & Regulations,4/12/2014,NO,YES,Burn from heat,1,229522.45,NULL,NULL,NULL,NULL,NULL,NULL
Codes & Regulations,4/12/2014,NO,NO,Eye Injury,1,229522.45,NULL,NULL,NULL,NULL,NULL,NULL
Commonwealth Attorney         ,4/12/2014,NULL,NULL,NULL,0,35535,NULL,NULL,NULL,NULL,NULL,NULL
Community Services,4/12/2014,NULL,NULL,NULL,0,325449.35,NULL,NULL,NULL,NULL,NULL,NULL
Coroner                       ,4/12/2014,NULL,NULL,NULL,0,39113.75,NULL,NULL,NULL,NULL,NULL,NULL
Corrections                   ,4/12/2014,NO,NO,Puncture,1,993360.66,NULL,NULL,NULL,NULL,NULL,NULL
Corrections                   ,4/12/2014,YES,YES,Strain (muscle/tendon),2,993360.66,NULL,NULL,NULL,NULL,NULL,NULL
County Attorney               ,4/12/2014,NULL,NULL,NULL,0,180195.68,NULL,NULL,NULL,NULL,NULL,NULL
Dept of Information Technology,4/12/2014,NULL,NULL,NULL,0,102456.3,NULL,NULL,NULL,NULL,NULL,NULL
Develop Louisville,4/12/2014,NULL,NULL,NULL,0,294084.3034,NULL,NULL,NULL,NULL,NULL,NULL
Econ Growth & Innovation ,4/12/2014,NULL,NULL,NULL,0,111779.6,NULL,NULL,NULL,NULL,NULL,NULL
Econ Growth & Innovation-APCD,4/12/2014,NULL,NULL,NULL,0,145201.43,NULL,NULL,NULL,NULL,NULL,NULL
Emergency Mgt Agency/MetroSafe,4/12/2014,NULL,NULL,NULL,0,421949.12,NULL,NULL,NULL,NULL,NULL,NULL
Fire & Rescue                 ,4/12/2014,YES,YES,Strain (muscle/tendon),1,1199656.6,NULL,NULL,NULL,NULL,NULL,NULL
Fleet & Facilities,4/12/2014,NO,YES,Strain (muscle/tendon),2,416506.61,NULL,NULL,NULL,NULL,NULL,NULL
Human Relations Commission    ,4/12/2014,NULL,NULL,NULL,0,39618.4,NULL,NULL,NULL,NULL,NULL,NULL
Human Resources,4/12/2014,NULL,NULL,NULL,0,84618.2,NULL,NULL,NULL,NULL,NULL,NULL
Internal Auditor              ,4/12/2014,NULL,NULL,NULL,0,9072.1,NULL,NULL,NULL,NULL,NULL,NULL
Kentuckiana Works Foundation,4/12/2014,NULL,NULL,NULL,0,29537.7,NULL,NULL,NULL,NULL,NULL,NULL
Library,4/12/2014,NULL,NULL,NULL,0,454935.76,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro Council      ,4/12/2014,NULL,NULL,NULL,0,167568.15,NULL,NULL,NULL,NULL,NULL,NULL
Louisville Metro EMS,4/12/2014,NULL,NULL,NULL,0,575139.67,NULL,NULL,NULL,NULL,NULL,NULL
Mayor's Office                ,4/12/2014,NULL,NULL,NULL,0,49338.8,NULL,NULL,NULL,NULL,NULL,NULL
Metro Animal Services         ,4/12/2014,NULL,NULL,NULL,0,87582.13,NULL,NULL,NULL,NULL,NULL,NULL
Metro Criminal Justice Comm   ,4/12/2014,NULL,NULL,NULL,0,6222.9,NULL,NULL,NULL,NULL,NULL,NULL
Metro Parks & Recreation,4/12/2014,YES,YES,Strain (muscle/tendon),1,609935.35,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,4/12/2014,YES,YES,Strain (muscle/tendon),1,2908447.42,NULL,NULL,NULL,NULL,NULL,NULL
Metro Police,4/12/2014,YES,YES,Tear of muscle/tendon/ligament,1,2908447.42,NULL,NULL,NULL,NULL,NULL,NULL
Office of Performance Improvmt,4/12/2014,NULL,NULL,NULL,0,18608.7,NULL,NULL,NULL,NULL,NULL,NULL
OMB ,4/12/2014,NULL,NULL,NULL,0,390809.0867,NULL,NULL,NULL,NULL,NULL,NULL
Other Officials               ,4/12/2014,NULL,NULL,NULL,0,19500,NULL,NULL,NULL,NULL,NULL,NULL
Parking Authority of River Cty,4/12/2014,NULL,NULL,NULL,0,54946.25,NULL,NULL,NULL,NULL,NULL,NULL
Public Health & Wellness,4/12/2014,NULL,NULL,NULL,0,426762.77,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,4/12/2014,YES,YES,Contusion/Bruise,1,848724.3433,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,4/12/2014,NO,YES,Strain (muscle/tendon),1,848724.3433,NULL,NULL,NULL,NULL,NULL,NULL
PW&A ,4/12/2014,NO,NO,Tear of muscle/tendon/ligament,1,848724.3433,NULL,NULL,NULL,NULL,NULL,NULL
Waterfront Development Corp,4/12/2014,NULL,NULL,NULL,0,32173.25,NULL,NULL,NULL,NULL,NULL,NULL
Youth Detention Services      ,4/12/2014,NULL,NULL,NULL,0,263731.22,NULL,NULL,NULL,NULL,NULL,NULL
Zoo,4/12/2014,NO,NO,Cut or Laceration,1,336193.36,NULL,NULL,NULL,NULL,NULL,NULL
Zoo,4/12/2014,NO,YES,Strain (muscle/tendon),1,336193.36,NULL,NULL,NULL,NULL,NULL,NULL
Belle of Louisville           ,3/29/2014,NULL,NULL,NULL,0,71467.86,NULL,NULL,NULL,NULL,NULL,NULL
Codes & Regulations,3/29/2014,NULL,NULL,NULL,0,229843.65,NULL,NULL,NULL,NULL,NULL,NULL
Commonwealth Attorney         ,3/29/2014,NULL,NULL,NULL,0,35460,NULL,NULL,NULL,NULL,NULL,NULL
